Id_Equipament,Nom_Equipament,Tipus_Equipament,Te_Subseus,Id_Seu_Principal,Es_subseu_de,Es_seu_principal,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Entitat,Notes_Equipament,Latitud,Longitud
453,"23Robadors ","Sales de música en viu",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada","Alberto Pons Carrera",,41.3788539,2.163502
408,"Agrupació Congrés",Ateneus,NO,,,1,09,"Sant Andreu",62,"el Congrés i els Indians","Titularitat privada","Agrupació Congrés",,"41.424768 ",2.180450
478,"Agrupació Cultural Folklòrica Barcelona",Ateneus,NO,,,1,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Titularitat privada","Confederació Sardanista de Catalunya",,41.3877756552004,2.179969802282483
394,Almo2bar,"Sales de música en viu",NO,,,1,06,Gràcia,31,"la Vila de Gràcia","Titularitat privada","Grup Almodobar",,41.4056165,2.1621234
393,Almodobar,"Sales de música en viu",NO,,,1,06,Gràcia,31,"la Vila de Gràcia","Titularitat privada","Grup Almodobar",,41.4034215,2.1677698
332,"AMDB. Arxiu Municipal Districte d'Horta-Guinardó","Arxius de districte",NO,,,1,07,Horta-Guinardó,33,"el Baix Guinardó","Ajuntament de Barcelona","Ajuntament de Barcelona",,41.409960057,2.169191469
323,"AMDB. Arxiu Municipal Districte de Ciutat Vella","Arxius de districte",NO,,,1,01,"Ciutat Vella",01,"el Raval","Ajuntament de Barcelona","Ajuntament de Barcelona",,41.382300324,2.168061867
324,"AMDB. Arxiu Municipal Districte de Gràcia","Arxius de districte",NO,,,1,06,Gràcia,28,"Vallcarca i els Penitents","Ajuntament de Barcelona","Ajuntament de Barcelona",,41.407459816,2.149757391
325,"AMDB. Arxiu Municipal Districte de l'Eixample","Arxius de districte",NO,,,1,02,Eixample,10,"Sant Antoni","Ajuntament de Barcelona","Ajuntament de Barcelona",,41.376643701,2.159247358
326,"AMDB. Arxiu Municipal Districte de les Corts","Arxius de districte",NO,,,1,04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Ajuntament de Barcelona",,41.385612855,2.129754111
327,"AMDB. Arxiu Municipal Districte de Nou Barris","Arxius de districte",NO,,,1,08,"Nou Barris",48,"la Guineueta","Ajuntament de Barcelona","Ajuntament de Barcelona",,41.436813681,2.171212448
328,"AMDB. Arxiu Municipal Districte de Sant Andreu","Arxius de districte",NO,,,1,09,"Sant Andreu",60,"Sant Andreu","Ajuntament de Barcelona","Ajuntament de Barcelona",,41.436950581,2.192183512
329,"AMDB. Arxiu Municipal Districte de Sant Martí","Arxius de districte",NO,,,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Ajuntament de Barcelona","Ajuntament de Barcelona",,41.392407372,2.197707021
330,"AMDB. Arxiu Municipal Districte de Sants-MontjuÏc","Arxius de districte",NO,,,1,03,Sants-Montjuïc,15,Hostafrancs,"Ajuntament de Barcelona","Ajuntament de Barcelona",,41.375377378,2.142256283
331,"AMDB. Arxiu Municipal Districte Sarrià-St Gervasi","Arxius de districte",NO,,,1,05,"Sarrià-Sant Gervasi",23,Sarrià,"Ajuntament de Barcelona","Ajuntament de Barcelona",,41.393875129,2.121169107
479,"Amics de la Unesco de Barcelona",Ateneus,NO,,,1,02,Eixample,08,"l'Antiga Esquerra de l'Eixample","Titularitat privada","Amics de la Unesco de Barcelona",,41.39052520368022,2.157912347982272
137,"Antic Teatre","Sales d'arts escèniques",NO,,,1,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Titularitat privada","Antic Teatre",,41.387137228,2.175892194
182,Apolo,"Sales de música en viu",NO,,,1,03,Sants-Montjuïc,11,"el Poble Sec","Titularitat privada",Autopark,,41.374341941,2.169489768
245,"Aquitània Teatre","Sales d'arts escèniques",NO,,,1,02,Eixample,09,"la Nova Esquerra de l'Eixample","Titularitat privada","Artisteando Barcelona",,41.390208275,2.144701461
334,"Arenas de Barcelona Multicines 3D",Cinemes,NO,,,1,02,Eixample,09,"la Nova Esquerra de l'Eixample","Titularitat privada","Edificios y Espectáculos. Grup Balañá",,41.376006901,2.149957276
364,"Aribau Multicines",Cinemes,NO,,,1,02,Eixample,08,"l'Antiga Esquerra de l'Eixample","Titularitat privada","Edificios y Espectáculos. Grup Balañá",,41.384561732,2.161367847
74,"Arxiu de la Corona d'Aragó","Arxius i biblioteques patrimonials",NO,,,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Altres administracions públiques","Ministerio de Cultura",,41.395265611,2.187388946
25,"Arxiu Fotogràfic de Barcelona","Arxius i biblioteques patrimonials",NO,,,1,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Institut de Cultura. Ajuntament de Barcelona",,41.386872640,2.181806284
24,"Arxiu Històric de la Ciutat de Barcelona","Arxius i biblioteques patrimonials",NO,,,1,01,"Ciutat Vella",02,"el Barri Gòtic","Ajuntament de Barcelona","Institut de Cultura. Ajuntament de Barcelona",,41.384253792,2.175866873
367,"Arxiu Històric Hospital de la Sta. Creu i Sant Pau","Arxius i biblioteques patrimonials",NO,,,1,07,Horta-Guinardó,35,"el Guinardó","Consorci o fundació amb presència administracions públiques","Hospital de la Santa Creu i Sant Pau",,41.413341,2.174335
72,"Arxiu Municipal Contemporani de Barcelona","Arxius i biblioteques patrimonials",NO,,,1,01,"Ciutat Vella",02,"el Barri Gòtic","Ajuntament de Barcelona","Ajuntament de Barcelona",,41.383087426,2.178749468
409,"Ateneu Barcelonès",Ateneus,NO,,,1,01,"Ciutat Vella",02,"el Barri Gòtic","Titularitat privada","Ateneu Barcelonès",,41.3846753,2.1717826000000287
410,"Ateneu del Clot",Ateneus,NO,,,1,10,"Sant Martí",65,"el Clot","Titularitat privada","La Farinera Ateneu del Clot de Barcelona",,41.4218753,2.178068899999971
411,"Ateneu Hortenc",Ateneus,NO,,,1,07,Horta-Guinardó,43,Horta,"Titularitat privada","Cor d'Horta",,41.4301359,2.1602420000000393
302,"Ateneu Popular 9 Barris","Fàbriques de Creació",NO,,,1,08,"Nou Barris",53,"la Trinitat Nova","Ajuntament de Barcelona","Bidó de Nou Barris",,41.448742312,2.180393289
336,"Balmes Multicines",Cinemes,NO,,,1,05,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Titularitat privada","Edificios y Espectáculos. Grup Balañá",,41.4071804,2.1386014
52,"Basílica de la Sagrada Família","Espais d'interès patrimonial",NO,,,1,02,Eixample,06,"la Sagrada Família","Titularitat privada","Fundació Junta Constructora del Temple Expiatori de la Sagrada Família",,41.403188985,2.174826626
77,"Biblioteca Barceloneta - La Fraternitat","Biblioteques de Barcelona",NO,,,1,01,"Ciutat Vella",03,"la Barceloneta","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.379201005,2.188854072
105,"Biblioteca Bon Pastor - Josefina Castellví","Biblioteques de Barcelona",NO,,,1,09,"Sant Andreu",59,"el Bon Pastor","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.435164144,2.204659876
224,"Biblioteca Camp de l'Arpa - Caterina Albert","Biblioteques de Barcelona",NO,,,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.415766234,2.182280785
100,"Biblioteca Canyelles - M Àngels Rivas","Biblioteques de Barcelona",NO,,,1,08,"Nou Barris",49,Canyelles,"Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.443773486,2.164322669
92,"Biblioteca Clarà","Biblioteques de Barcelona",NO,,,1,05,"Sarrià-Sant Gervasi",24,"les Tres Torres","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.399909399,2.129455802
93,"Biblioteca Collserola - Josep Miracle","Biblioteques de Barcelona",NO,,,1,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.415359022,2.102528700
115,"Biblioteca de Catalunya","Arxius i biblioteques patrimonials",NO,,,1,01,"Ciutat Vella",01,"el Raval","Altres administracions públiques","Biblioteca de Catalunya. Generalitat de Catalunya",,41.381057325,2.169793714
96,"Biblioteca El Carmel - Juan Marsé","Biblioteques de Barcelona",NO,,,1,07,Horta-Guinardó,37,"el Carmel","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.421104560,2.155286623
239,"Biblioteca El Clot - Josep Benet","Biblioteques de Barcelona",NO,,,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.4019532,2.188806
82,"Biblioteca Esquerra de l'Eixample - Agustí Centelles","Biblioteques de Barcelona",NO,,,1,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.3864488,2.1527896
81,"Biblioteca Fort Pienc - Ana M. Moix","Biblioteques de Barcelona",NO,,,1,02,Eixample,05,"el Fort Pienc","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.395555185,2.182447586
87,"Biblioteca Francesc Candel","Biblioteques de Barcelona",NO,,,1,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.361777512,2.136276613
78,"Biblioteca Francesca Bonnemaison","Biblioteques de Barcelona",NO,,,1,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.386936575,2.175789976
470,"Biblioteca Gabriel García Márquez","Biblioteques de Barcelona",NO,,,1,10,"Sant Martí",72,"Sant Martí de Provençals","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona","Biblioteca inaugurada la primavera de 2022 en substitució de la Biblioteca Sant Martí de Provençals, tancada definitivament el desembre de 2021.",41.417120,2.200328
79,"Biblioteca Gòtic - Andreu Nin","Biblioteques de Barcelona",NO,,,1,01,"Ciutat Vella",02,"el Barri Gòtic","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.378730324,2.175978504
97,"Biblioteca Guinardó - Mercè Rodoreda","Biblioteques de Barcelona",NO,,,1,07,Horta-Guinardó,33,"el Baix Guinardó","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.414313258,2.165318095
98,"Biblioteca Horta - Can Mariner","Biblioteques de Barcelona",NO,,,1,07,Horta-Guinardó,43,Horta,"Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.431105502,2.160733590
107,"Biblioteca Ignasi Iglésias - Can Fabra","Biblioteques de Barcelona",NO,,,1,09,"Sant Andreu",60,"Sant Andreu","Ajuntament de Barcelona","Consorci de Biblioteques de Barcelona",,41.434481450,2.190871493
