Orden;Periodo panel;ciudad;cod_distrito;distrito;cod_barrio;barrio;año;fecha_indicador;fuente_indicador;categoría_1;categoría_2;indicador_nivel1;indicador_nivel2;indicador_nivel3;unidad_indicador;indicador_completo;valor_indicador
492;2020;Ciudad de Madrid;1;Centro;11;Palacio;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;22923
588;2020;Ciudad de Madrid;1;Centro;12;Embajadores;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;45259
683;2020;Ciudad de Madrid;1;Centro;13;Cortes;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;10484
770;2020;Ciudad de Madrid;1;Centro;14;Justicia;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;17153
866;2020;Ciudad de Madrid;1;Centro;15;Universidad;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;31725
962;2020;Ciudad de Madrid;1;Centro;16;Sol;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;7337
1265;2020;Ciudad de Madrid;2;Arganzuela;21;Imperial;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;22766
1354;2020;Ciudad de Madrid;2;Arganzuela;22;Acacias;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;36785
1445;2020;Ciudad de Madrid;2;Arganzuela;23;Chopera;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;19993
1537;2020;Ciudad de Madrid;2;Arganzuela;24;Legazpi;2019;43466;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;19652
