Orden;Periodo panel;ciudad;cod_distrito;distrito;cod_barrio;barrio;año;fecha_indicador;fuente_indicador;categoría_1;categoría_2;indicador_nivel1;indicador_nivel2;indicador_nivel3;unidad_indicador;indicador_completo;valor_indicador
490;2020;Ciudad de Madrid;1;Centro;11;Palacio;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;147
586;2020;Ciudad de Madrid;1;Centro;12;Embajadores;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;103
681;2020;Ciudad de Madrid;1;Centro;13;Cortes;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;59
768;2020;Ciudad de Madrid;1;Centro;14;Justicia;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;74
864;2020;Ciudad de Madrid;1;Centro;15;Universidad;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;95
960;2020;Ciudad de Madrid;1;Centro;16;Sol;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;45
1263;2020;Ciudad de Madrid;2;Arganzuela;21;Imperial;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;97
1352;2020;Ciudad de Madrid;2;Arganzuela;22;Acacias;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;107
1443;2020;Ciudad de Madrid;2;Arganzuela;23;Chopera;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;57
1535;2020;Ciudad de Madrid;2;Arganzuela;24;Legazpi;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;141
1622;2020;Ciudad de Madrid;2;Arganzuela;25;Delicias;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;105
1710;2020;Ciudad de Madrid;2;Arganzuela;26;Palos de la Frontera;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;65
1803;2020;Ciudad de Madrid;2;Arganzuela;27;Atocha;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;74
2097;2020;Ciudad de Madrid;3;Retiro;31;Pacífico;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;76
2191;2020;Ciudad de Madrid;3;Retiro;32;Adelfas;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;64
2281;2020;Ciudad de Madrid;3;Retiro;33;Estrella;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;103
2372;2020;Ciudad de Madrid;3;Retiro;34;Ibiza;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;49
2461;2020;Ciudad de Madrid;3;Retiro;35;Los Jerónimos;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;191
2551;2020;Ciudad de Madrid;3;Retiro;36;Niño Jesús;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;64
2845;2020;Ciudad de Madrid;4;Salamanca;41;Recoletos;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;87
2933;2020;Ciudad de Madrid;4;Salamanca;42;Goya;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;77
3022;2020;Ciudad de Madrid;4;Salamanca;43;Fuente del Berro;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;85
3111;2020;Ciudad de Madrid;4;Salamanca;44;Guindalera;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;160
3207;2020;Ciudad de Madrid;4;Salamanca;45;Lista;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;52
3293;2020;Ciudad de Madrid;4;Salamanca;46;Castellana;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;77
3588;2020;Ciudad de Madrid;5;Chamartín;51;El Viso;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;171
3674;2020;Ciudad de Madrid;5;Chamartín;52;Prosperidad;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;104
3764;2020;Ciudad de Madrid;5;Chamartín;53;Ciudad Jardín;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;76
3858;2020;Ciudad de Madrid;5;Chamartín;54;Hispanoamérica;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;171
3946;2020;Ciudad de Madrid;5;Chamartín;55;Nueva España;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;179
4036;2020;Ciudad de Madrid;5;Chamartín;56;Castilla;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;216
4340;2020;Ciudad de Madrid;6;Tetuán;61;Bellas Vistas;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;72
4433;2020;Ciudad de Madrid;6;Tetuán;62;Cuatro Caminos;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;119
4522;2020;Ciudad de Madrid;6;Tetuán;63;Castillejos;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;70
4610;2020;Ciudad de Madrid;6;Tetuán;64;Almenara;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;100
4708;2020;Ciudad de Madrid;6;Tetuán;65;Valdeacederas;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;116
4799;2020;Ciudad de Madrid;6;Tetuán;66;Berruguete;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;61
5097;2020;Ciudad de Madrid;7;Chamberí;71;Gaztambide;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;51
5188;2020;Ciudad de Madrid;7;Chamberí;72;Arapiles;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;58
5281;2020;Ciudad de Madrid;7;Chamberí;73;Trafalgar;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;61
5370;2020;Ciudad de Madrid;7;Chamberí;74;Almagro;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;94
5460;2020;Ciudad de Madrid;7;Chamberí;75;Ríos Rosas;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;98
5550;2020;Ciudad de Madrid;7;Chamberí;76;Vallehermoso;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;107
5855;2020;Ciudad de Madrid;8;Fuencarral-El Pardo;81;El Pardo;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;18758
5943;2020;Ciudad de Madrid;8;Fuencarral-El Pardo;82;Fuentelarreina;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;138
6028;2020;Ciudad de Madrid;8;Fuencarral-El Pardo;83;Peñagrande;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;289
6122;2020;Ciudad de Madrid;8;Fuencarral-El Pardo;84;Pilar;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;136
6216;2020;Ciudad de Madrid;8;Fuencarral-El Pardo;85;La Paz;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;215
6309;2020;Ciudad de Madrid;8;Fuencarral-El Pardo;86;Valverde;2019;43466;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;898
